"Date/Time";"Date/Time Start";"LatitudeCoord.";"LongitudeCoord.";"Altitude(m)";"LocationAccuracy(m)";"GeoAddress";"SpeedRaw(m/s)";"Speed(km/h)";"SpeedMinTierPref(km/h)";"GForce(m/s2)";"EmergenceBraking";"Acceleration(m/s2)";"AccelerationXYZ";"IsAccelerating";"EulerAngleRotatePhone";"LightLevel(Lux)";"Illuminance";"AudioLevelPref";"LeftHeadAnglePref";"RightHeadAnglePref";"IsHeadRotatedYaw";"HeadAngleYawRaw";"CalibratedHeadAngleYaw";"CalibratedHeadAngleYawPref";"HeadAnglePitchPref";"IsHeadRotatedPitch";"HeadAnglePitchRaw";"CalibratedHeadAnglePitch";"CalibratedHeadAnglePitchPref";"PERCLOSPref";"LeftEyeOpennessPercentagePref";"RightEyeOpennessPercentagePref";"LeftEyeOpennessProbability";"RightEyeOpennessProbability";"IntervalBetweenDetectDangersBetween(ms)";"PeriodInDetectDanger(ms)";"CoffeeCupDialogTimeout(sec)";"Setting PictureContrast(0-10)";"Setting PictureBrightness(-255,255)";"Setting PictureSize(px)";"DriverGender";"DriverExperience";"DriverBdate"
"26/06/18 23:55:41:392";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"1,0";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"57.203086853027344,18.0678768157959,-4.253375053405762";"8,0";"Bright";"3";"15,0";"15,0";"false";"-13,76";"-9,88";"-3,88";"15,0";"false";"1,64";"5,57";"-3,93";"0,25";"0,3";"0,3";"1,0";"1,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:41:394";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,97";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"57.203086853027344,18.0678768157959,-4.253375053405762";"8,0";"Bright";"3";"15,0";"15,0";"false";"-13,76";"-9,88";"-3,88";"15,0";"false";"1,64";"5,57";"-3,93";"0,25";"0,3";"0,3";"1,0";"1,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:41:592";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,98";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"55.80148696899414,17.810781478881836,-4.3613433837890625";"8,0";"Bright";"3";"15,0";"15,0";"false";"-0,13";"3,75";"-3,88";"15,0";"false";"4,98";"8,91";"-3,93";"0,25";"0,3";"0,3";"1,0";"1,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:41:768";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,98";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"54.032352447509766,18.123916625976562,-4.211392402648926";"8,0";"Bright";"3";"15,0";"15,0";"false";"-2,78";"1,1";"-3,88";"15,0";"false";"5,08";"9,01";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:41:957";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"1,0";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"53.24860382080078,18.37263298034668,-4.235513210296631";"8,0";"Bright";"3";"15,0";"15,0";"false";"-1,16";"2,72";"-3,88";"15,0";"false";"4,62";"8,55";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:42:163";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,98";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"52.846370697021484,18.37700080871582,-4.37719202041626";"8,0";"Bright";"3";"15,0";"15,0";"false";"-3,25";"0,63";"-3,88";"15,0";"false";"5,72";"9,65";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:42:343";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"1,0";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"50.325836181640625,18.60765266418457,-4.503810405731201";"7,0";"Bright";"3";"15,0";"15,0";"false";"-5,16";"-1,28";"-3,88";"15,0";"false";"6,44";"10,37";"-3,93";"0,25";"0,3";"0,3";"1,0";"1,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:42:528";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,98";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"50.025054931640625,18.49029541015625,-4.377331733703613";"7,0";"Bright";"3";"15,0";"15,0";"false";"-4,1";"-0,22";"-3,88";"15,0";"false";"4,61";"8,54";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:42:726";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,99";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"49.08815383911133,18.50790786743164,-4.334191799163818";"7,0";"Bright";"3";"15,0";"15,0";"false";"-4,41";"-0,53";"-3,88";"15,0";"false";"5,76";"9,69";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:42:911";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,99";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"47.64301300048828,18.723665237426758,-4.269021034240723";"7,0";"Bright";"3";"15,0";"15,0";"false";"-4,25";"-0,37";"-3,88";"15,0";"false";"4,71";"8,64";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:43:108";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,99";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"46.05649185180664,19.357633590698242,-4.238811016082764";"7,0";"Bright";"3";"15,0";"15,0";"false";"-4,32";"-0,44";"-3,88";"15,0";"false";"4,95";"8,88";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:43:311";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,99";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"43.4743537902832,19.97517967224121,-4.238932132720947";"7,0";"Bright";"3";"15,0";"15,0";"false";"-2,52";"1,36";"-3,88";"15,0";"false";"3,32";"7,25";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:43:497";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,99";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"43.77589797973633,20.541004180908203,-4.315889358520508";"7,0";"Bright";"3";"15,0";"15,0";"false";"-2,4";"1,48";"-3,88";"15,0";"false";"1,1";"5,03";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:43:685";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"1,0";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"44.486759185791016,20.74322509765625,-4.487964630126953";"7,0";"Bright";"3";"15,0";"15,0";"false";"-2,21";"1,67";"-3,88";"15,0";"false";"2,51";"6,44";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:43:902";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"0,99";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"44.564517974853516,20.8758544921875,-4.687507152557373";"7,0";"Bright";"3";"15,0";"15,0";"false";"-2,58";"1,3";"-3,88";"15,0";"false";"2,29";"6,22";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:44:098";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"1,0";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"45.498023986816406,21.015710830688477,-4.8251118659973145";"7,0";"Bright";"3";"15,0";"15,0";"false";"-3,16";"0,72";"-3,88";"15,0";"false";"2,52";"6,45";"-3,93";"0,25";"0,3";"0,3";"0,0";"0,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
"26/06/18 23:55:44:276";"26/06/18 23:55:38:454";"N/A";"N/A";"0,0";"0,0";"N/A";"0,0";"0,0";"0,0";"1,0";"";"1,46";"-1.4208325,0.28772545,0.15281415";"True";"45.63337326049805,21.32179069519043,-4.897431373596191";"7,0";"Bright";"3";"15,0";"15,0";"false";"-2,27";"1,61";"-3,88";"15,0";"false";"2,24";"6,17";"-3,93";"0,25";"0,3";"0,3";"1,0";"1,0";"20000";"2000";"15";"1";"0";"350";"1";"5-8 лет";"10.2.2000"
